year,world_growth
1960,
1961,3.838632911
1962,5.281416081
1963,5.205447852
1964,6.568086176
1965,5.571565943
1966,5.669749017
1967,4.17752313
1968,5.989347042
1969,5.834330769
1970,3.660243996
1971,4.290056643
1972,5.634095516
1973,6.434009015
1974,1.827964536
1975,0.598534309
1976,5.28748412
1977,4.074135925
1978,4.060710145
1979,4.191569717
1980,1.806463708
1981,1.920236469
1982,0.404054561
1983,2.60723432
1984,4.681557137
1985,3.711161049
1986,3.464233219
1987,3.740916528
1988,4.655545672
1989,3.754765873
1990,2.923225522
1991,1.462848524
1992,2.061125953
1993,1.80005896
1994,3.284493788
1995,3.094793501
1996,3.612878564
1997,3.867505174
1998,2.816740455
1999,3.525116969
2000,4.49055255
2001,2.02975786
2002,2.339499862
2003,3.17096887
2004,4.46811017
2005,4.067022402
2006,4.501234062
2007,4.445886365
2008,1.998303771
2009,-1.300103338
2010,4.487378883
2011,3.334494338
2012,2.698410438
2013,2.870533793
2014,3.127883746
2015,3.164986986
2016,2.803577513
2017,3.386968207
2018,3.241818851
2019,2.561759669
2020,-3.404752635
